,trip_number,start_time,time
0,6002,29640,08:14:00
1,6004,33240,09:14:00
2,6006,36840,10:14:00
3,6008,40440,11:14:00
4,6010,44040,12:14:00
5,6012,45660,12:41:00
6,6014,47460,13:11:00
7,6016,49260,13:41:00
8,6018,51060,14:11:00
9,6020,52860,14:41:00
10,6022,54660,15:11:00
11,6024,56460,15:41:00
12,6026,58260,16:11:00
13,6028,60060,16:41:00
14,6030,61860,17:11:00
15,6032,65460,18:11:00
16,6034,69060,19:11:00
17,6036,72660,20:11:00
18,6038,76260,21:11:00
19,6040,79860,22:11:00
