,trip_number,start_time,time
0,7002,32700,09:05:00
1,7004,36300,10:05:00
2,7006,39900,11:05:00
3,7008,43500,12:05:00
4,7010,47100,13:05:00
5,7012,50700,14:05:00
6,7014,54300,15:05:00
7,7016,57900,16:05:00
8,7018,61500,17:05:00
9,7020,65100,18:05:00
10,7022,68700,19:05:00
11,7024,72300,20:05:00
12,7026,75900,21:05:00
13,7028,79500,22:05:00
