node_index,osmid
462,9243532443
512,44055098
547,44070762
680,44066195
760,44059609
788,44047876
835,44053854
852,44064361
899,44058345
915,44035657
951,1079445095
1159,44026386
1185,44032002
1412,2678892750
1720,1082313794
