request_id,trip_id,rq_time,start,end,bus_end_tt
0,1003,23214,2046,5477,23225
1,1006,26809,1550,4123,26833
2,1018,37709,616,4123,37715
3,1025,43711,5424,4767,43715
4,1036,53162,4780,4123,53190
5,1037,54020,2046,616,54024
6,1038,55736,4780,4123,55764
7,1047,62744,2046,266,62757
8,1053,68414,5424,4767,68418
9,1072,87765,4780,4123,87793
